BBG000BGKTF9|CapitalOne
BBG000BJL3N0|FifthThirdBancorp
BBG000QGWY50|BluebirdBioInc
BBG007GNPYY7|AlarmcomHoldingsInc
BBG000BPD168|Merck
BBG000BHLYS1|ConsolidatedEdison
BBG0014XR0N5|CheggInc
BBG000BNNKG9|Masco
BBG000BH3GZ2|Yum!
BBG000TJM7F0|KeurigDrPepper
BBG000M1R011|ServiceNowInc
BBG000BLZRJ2|MorganStanley
BBG000C0F570|Xilinx
BBG000BDNV95|Brady
BBG000F5VVB6|Nasdaq
BBG000Q1KFH4|WesternAllianceBancorp
BBG000HD3DW5|WintrustFinancial
BBG0084BBZY6|SolarEdgeTechnologiesInc
BBG006MDLY05|GoDaddyInc
BBG000BNY197|MethodeElectronicsInc
BBG000K3BC83|LIthiaMotorsInc
BBG000QCG7M7|VirtusaCorp
BBG001Z0Q6T5|MurphyUSAInc
BBG000DWG505|BerkshireHathaway
BBG000BS48J3|RepligenCorporation
BBG007FL7ZD2|SPXFLOWInc
TCS00JH9TZ56|ApergyCorporation
BBG000C2ZCH8|SempraEnergy
BBG000BV59Y6|TeleflexInc
BBG0064N0ZZ5|PaycomSoftwareInc
BBG000HS77T5|VerizonCommunications
BBG000BJQK11|FerroCorp
BBG0078W3NQ3|HewlettPackardEnterprise
BBG000C4SKT1|DycomIndustriesInc
BBG0022FMPD5|EverbridgeInc
BBG000BLNNH6|IBM
BBG000BGPQW1|CalavoGrowersInc
BBG000BBHPV4|SykesEnterprisesInc
BBG000GXZ4W7|ANSYS
BBG000C136Z8|NetScoutSystemsInc
BBG000BS1YV5|Take-TwoInteractiveSoftware
BBG000BP1152|CienaCorp
BBG000Q5ZRM7|DigitalRealty
BBG00DYPZ4T0|BrighthouseFinancial
BBG000CHPMY5|JohnBSanfilippo&SonInc
BBG000BM0QL7|Smith&WessonBrands
BBG00BTK1DT8|CortexymeInc
BBG000C3KB84|GlacierBan
BBG000HT5MG6|VandaPharmaceuticalsInc
BBG000BWXBC2|Wal-MartStores
BBG009NRSWJ4|ZillowGroupInc
BBG000GQPB11|MercadoLibreInc
BBG000BWHD54|VornadoRealtyTrust
